"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"simulacion3.nlogo"
"ParteB"
"07/23/2024 17:56:02:156 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","num-capacity","num-hospitals","num-ambulances","limit-capacity?","[step]","death-percentage","max-patient-counter"
"2","0","1","5","n","25790","63.07","1781"
"6","0","1","5","n","19310","56.4","2155"
"9","0","1","5","n","21754","53.85","2139"
"8","0","1","5","n","22092","55.87","2136"
"4","0","1","5","n","23069","57.21","2114"
"7","0","1","5","n","26292","62.87","1835"
"5","0","1","5","n","25372","61.72","1849"
"10","0","1","5","n","25670","61.74","1948"
"3","0","1","5","n","26319","61.87","1883"
"1","0","1","5","n","22420","56.05","2056"
"13","0","2","5","n","26652","32.15","1728"
"11","0","2","5","n","25107","26.2","2076"
"14","0","2","5","n","26019","29.23","1839"
"12","0","2","5","n","25574","26.33","2081"
"15","0","2","5","n","25625","28.97","2092"
"16","0","2","5","n","26373","29.47","1923"
"20","0","2","5","n","26414","30.79","1731"
"17","0","2","5","n","24093","24.74","1965"
"18","0","2","5","n","24309","26.89","2042"
"19","0","2","5","n","26086","29.41","2048"
"24","0","3","5","n","25415","7.69","1966"
"23","0","3","5","n","25301","7.44","1952"
"25","0","3","5","n","26818","9.82","1693"
"22","0","3","5","n","26232","8.92","1816"
"21","0","3","5","n","24948","8.86","2080"
"28","0","3","5","n","26482","11.19","1726"
"27","0","3","5","n","26653","9.68","1845"
"30","0","3","5","n","26712","9","1817"
"26","0","3","5","n","26050","11.13","1724"
"29","0","3","5","n","26983","11.42","1778"
"36","0","4","5","n","23930","0.76","2038"
"33","0","4","5","n","26091","0.83","1751"
"32","0","4","5","n","26275","1.31","1727"
"35","0","4","5","n","26009","0.58","1843"
"31","0","4","5","n","27489","3.21","1590"
"34","0","4","5","n","26655","1","1983"
"40","0","4","5","n","24008","0.11","2080"
"37","0","4","5","n","26674","1.1","1623"
"39","0","4","5","n","26904","1.29","1784"
"38","0","4","5","n","26804","2.08","1785"
"41","0","5","5","n","26211","0.02","1804"
"42","0","5","5","n","26440","0","1804"
"43","0","5","5","n","25323","0","2030"
"46","0","5","5","n","25682","0","1978"
"45","0","5","5","n","26883","0.04","1668"
"44","0","5","5","n","27169","0","1676"
"47","0","5","5","n","26177","0","1653"
"48","0","5","5","n","26403","0.06","1989"
"50","0","5","5","n","26812","0.02","1537"
"49","0","5","5","n","26756","0.02","1759"
